Code,StationName,Staffed,StationType,Address1,Address2,City,State,Zip,Country,Division,TimeZone,Latitude/Longitude,Elevation,Population
ABB,"Abbotsford-Colby, Wisconsin",N,Curbside Bus Stop only (no shelter),1210 North Division St.,Super 29 Shell,Colby,WI,54421,United States,Central,C,"44.928553,-90.314667",1398,
ABE,"Aberdeen, Maryland",N,Station Building (with waiting room),18 East Bel Air Avenue,Amtrak/MARC Station,Aberdeen,MD,21001-3701,United States,Mid-Atlantic,E,"39.508447,-76.163260",90,18000
ABN,"Absecon, New Jersey",N,Platform with Shelter,Shore Road and Ohio Avenue,New Jersey Transit Station,Absecon,NJ,08201,United States,Northeast,E,"39.424041,-74.501475",20,8065
ABQ,"Albuquerque, New Mexico",Y,Station Building (with waiting room),320 1st Street SW,Alvarado Transportation Center,Albuquerque,NM,87102-3405,United States,Southwest,M,"35.083457,-106.648024",4959,450000
ACA,"Antioch-Pittsburg, California",N,Platform with Shelter,100 I Street,,Antioch,CA,94509-1122,United States,Pacific,P,"38.017700,-121.816024",14,100586
ACY,"Atlantic City, New Jersey",N,Station Building (with waiting room),1 Atlantic City Expressway,New Jersey Transit Station,Atlantic City,NJ,08401-4106,United States,Northeast,E,"39.362689,-74.439903",7,37000
ADM,"Ardmore, Oklahoma",N,Station Building (with waiting room),251 East Main Street,,Ardmore,OK,73401-7016,United States,Southwest,C,"34.172465,-97.125510",871,24810
AGM,"Augusta, Maine",N,Curbside Bus Stop only (no shelter),9 Industrial Drive,Transportation Center,Augusta,ME,04330,United States,Northeast,E,"44.355913,-69.799133",225,
AHL,"Ashland, Oregon",N,Curbside Bus Stop only (no shelter),585 Siskiyou Blvd,Safeway Market,Ashland,OR,97520,United States,Pacific,P,"42.193207,-122.706715",1954,20881
AKY,"Ashland, Kentucky",N,Station Building (with waiting room),99 15th Street,,Ashland,KY,41101,United States,Mid-Atlantic,E,"38.480875,-82.639603",546,21570
ALB,"Albany-Rensselaer, New York",Y,Station Building (with waiting room),525 East Street,,Rensselaer,NY,12144-2310,United States,Northeast,E,"42.641029,-73.741147",30,110000
ALC,"Alliance, Ohio",N,Platform only (no shelter),820 East Main Street,,Alliance,OH,44601,United States,Central,E,"40.921275,-81.092904",1078,23376
ALD,"Alderson, West Virginia",N,Platform with Shelter,1 C&O Plaza on Railroad Avenue,,Alderson,WV,24910,United States,Mid-Atlantic,E,"37.724277,-80.644856",1550,1086
ALI,"Albion, Michigan",N,Station Building (with waiting room),300 North Eaton Street,,Albion,MI,49224,United States,Central,E,"42.247196,-84.755814",948,12115
ALM,"Alpena, Michigan",N,Curbside Bus Stop only (no shelter),1141 US Highway 23 North,Z's Crossroads Gas Station,Alpena,MI,49707,United States,Central,E,"45.089602,-83.457868",627,
ALN,"Alton, Illinois",Y,Station Building (with waiting room),3400 College Avenue,,Alton,IL,62002-5000,United States,Central,C,"38.904723,-90.136276",491,29269
ALP,"Alpine, Texas",N,Station Building (with waiting room),102 West Holland Avenue,,Alpine,TX,79830,United States,Southwest,C,"30.357302,-103.661513",4483,6035
ALT,"Altoona, Pennsylvania",Y,Station Building (with waiting room),1231 11th Avenue,,Altoona,PA,16601,United States,Mid-Atlantic,E,"40.514475,-78.401620",1180,56500
ALX,"Alexandria, Virginia",Y,Station Building (with waiting room),110 Callahan Drive,,Alexandria,VA,22301-2752,United States,Mid-Atlantic,E,"38.806503,-77.062330",30,136974
ALY,"Albany, Oregon",Y,Station Building (with waiting room),110 10th Avenue SW,,Albany,OR,97321-2457,United States,Pacific Northwest,P,"44.630464,-123.102774",223,40852
AMM,"Amherst, Massachusetts",N,Platform with Shelter,13 Railroad Street,,Amherst,MA,01002-2318,United States,Northeast,E,"42.375315,-72.511567",258,34049
AMS,"Amsterdam, New York",N,Platform only (no shelter),466 West Main Street,Route 5 West,Amsterdam,NY,12010-1053,United States,Northeast,E,"42.953719,-74.219500",270,22000
ANA,"Anaheim, California",Y,Station Building (with waiting room),2150 East Katella Avenue,Anaheim Stadium Parking Lot,Anaheim,CA,92806,United States,Southwest,P,"33.803507,-117.882263",157,200100
APP,"Appleton, Wisconsin",N,Curbside Bus Stop only (no shelter),100 East Washington Street,Appleton Transit Center,Appleton,WI,54911-5448,United States,Central,C,"44.263311,-88.405852",791,70191
ARB,"Ann Arbor, Michigan",Y,Station Building (with waiting room),325 Depot Street,,Ann Arbor,MI,48104,United States,Central,E,"42.287692,-83.743154",780,99797
ARC,"Arcata, California",N,Curbside Bus Stop only (no shelter),925 E Street,Transit Center,Arcata,CA,95521-6239,United States,Pacific,P,"40.868633,-124.083805",33,14140
ARD,"Ardmore, Pennsylvania",N,Station Building (with waiting room),Station Road and Lancaster Avenue,,Ardmore,PA,19003,United States,Mid-Atlantic,E,"40.008278,-75.290399",358,12616
ARI,"Astoria (Shell Station Mini Mart), Oregon",N,Curbside Bus Stop only (no shelter),95 West Marine Drive,Shell Station/Mini Mart,Astoria,OR,97103,United States,Pacific,P,"46.190543,-123.844997",21,9813
ARK,"Arkadelphia, Arkansas",N,Platform with Shelter,798 South 5th Street,,Arkadelphia,AR,71923-6237,United States,Central,C,"34.113919,-93.053284",192,10475
ARN,"Auburn, California",N,Platform with Shelter,277 Nevada Street,at Fulweiler Street,Auburn,CA,95603,United States,Pacific,P,"38.903638,-121.083187",1271,13000
ART,"Astoria (Transit Center), Oregon",N,Curbside Bus Stop only (no shelter),900 Marine Drive,Astoria Transit Center,Astoria,OR,97103,United States,Pacific Northwest,P,"46.190210,-123.833290",10,
ASD,"Ashland, Virginia",N,Platform with Shelter,112 North Railroad Avenue,,Ashland,VA,23005,United States,Mid-Atlantic,E,"37.759596,-77.481304",212,5800
AST,"Aldershot, Ontario",Y,Station Building (with waiting room),1199 Waterdown Road,,Aldershot,ON,L7T 4A8,Canada,VIA Rail Canada Inc.,E,"43.313413,-79.855712",351,3868
ATA,"Atascadero, California",N,Curbside Bus Stop only (no shelter),6904 El Camino Real,Atascadero Transit stop ,Atascadero,CA,93422,United States,Pacific,P,"35.487255,-120.666534",855,20000
ATI,"Athol, Idaho",N,Curbside Bus Stop only (no shelter),29801 US Highway 95,Cydco Cenex Gas Station,Athol,ID,83801,United States,Pacific Northwest,P,"47.947193,-116.699808",2405,
ATL,"Atlanta, Georgia",Y,Station Building (with waiting room),"1688 Peachtree Street, NW",,Atlanta,GA,30309,United States,Southern,E,"33.799445,-84.392477",889,4000000
ATN,"Anniston, Alabama",N,Station Building (with waiting room),126 West 4th Street,,Anniston,AL,36201,United States,Southern,C,"33.649112,-85.832145",677,24052
ATO,"Atco, New Jersey",N,Platform with Shelter,Cooper Road and Raritan Avenue,New Jersey Transit Station,Atco,NJ,08004,United States,Northeast,E,"39.783504,-74.907893",159,14300
AUS,"Austin, Texas",Y,Station Building (with waiting room),250 North Lamar Boulevard,,Austin,TX,78703,United States,Southwest,C,"30.269449,-97.756940",463,644000
BAG,Baggage,,Pseudo Station,,,,,,,,,"null,null",,
BAK,"Baker City, Oregon",N,Station Building (with waiting room),515 Campbell Street,Baker Truck Corral / TRUKORP,Baker City,OR,97814,United States,Pacific Northwest,P,"44.781551,-117.813137",3432,9000
BAL,"Baltimore (Penn Station), Maryland",Y,Station Building (with waiting room),1500 North Charles Street,Penn Station,Baltimore,MD,21201-5815,United States,Mid-Atlantic,E,"39.307302,-76.615688",70,651000
BAM,"Bangor, Michigan",N,Station Building (with waiting room),541 Railroad Street,,Bangor,MI,49013-1464,United States,Central,E,"42.314519,-86.111646",655,1889
BAN,"Bangor, Maine",N,Station Building (with waiting room),1039 Union Street,Bangor Transportation Center,Bangor,ME,04401-3011,United States,Northeast,E,"44.816614,-68.808747",151,31008
BAR,"Barstow (Amtrak), California",N,Platform with Shelter,685 North First Avenue,,Barstow,CA,92311,United States,Southwest,P,"34.904820,-117.025435",2105,23628
BAT,"Bath, Maine",N,Curbside Bus Stop only (no shelter),10 State Road,"Mail It 4 U - Suite 9, Coastal Plaza",Bath,ME,04530-6018,United States,Northeast,E,"43.906147,-69.830947",32,9184
BAV,"Barnesville, Maryland",,Pseudo Station,8 Beallsville Road,MARC Station,Barnesville,MD,20841,United States,MARC,E,"null,null",,
BBS,"Barstow (Bus), California",N,Curbside Bus Stop only (no shelter),1611 East Main Street,,Barstow,CA,92311-3239,United States,Southwest,P,"34.891277,-116.998434",2106,23628
BBY,"Boston (Back Bay), Massachusetts",Y,Station Building (with waiting room),145 Dartmouth Street,,Boston,MA,02116-5162,United States,Northeast,E,"42.347317,-71.075828",20,641000
BCA,"Baltimore (Camden Station), Maryland",,Pseudo Station,301 West Camden Street,MARC Station,Baltimore,MD,21230,United States,MARC,E,"null,null",,
BCV,"Burke Centre, Virginia",N,Platform with Shelter,10399 Premier Court,Virginia Railway Express Station,Burke,VA,22015,United States,Mid-Atlantic,E,"38.797271,-77.298790",297,
BCY,"Bay City, Michigan",N,Station Building (with waiting room),1124 Washington Avenue,Central Bus Terminal,Bay City,MI,48708,United States,Central,E,"43.601847,-83.886922",591,
BDR,"Bend (Riverhouse), Oregon",N,Platform with Shelter,3075 North Business Highway 97,The Riverhouse Resort,Bend,OR,97701,United States,Pacific Northwest,P,"44.080868,-121.305716",3534,71892
BDT,"Bradenton, Florida",N,Curbside Bus Stop only (no shelter),1113 Manatee Avenue West,Manatee County Courthouse,Bradenton,FL,34205-7803,United States,Southern,E,"27.495234,-82.573385",14,53662
